Row ID,Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,data_as_of,data_loaded_at,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts,year,half year
149388304134,2025-07-01 17:29:00,2025/07/01,17:29,2025,Tuesday,2025/07/01 05:36:00 PM,1493883,250364630,251822368.0,II,Initial,,4134,Assault,Simple Assault,Battery,Cite or Arrest Adult,KIRKWOOD AVE \ NEWHALL ST,20668000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.73816680908203,-122.38996124267578,POINT (-122.389961243 37.738166809),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,86.0,,,,,,9.0,2.0,2025,2
149389526080,2025-07-01 18:20:00,2025/07/01,18:20,2025,Tuesday,2025/07/01 07:46:00 PM,1493895,250364828,251822525.0,II,Initial,,26080,Other Miscellaneous,Other,Conspiracy,Cite or Arrest Adult,OFARRELL ST \ POWELL ST,24904000.0,Central,Tenderloin,3.0,3.0,37.78641128540039,-122.40803527832033,POINT (-122.408035278 37.786411285),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,19.0,,,,,,3.0,6.0,2025,2
149370663010,2025-07-01 09:05:00,2025/07/01,09:05,2025,Tuesday,2025/07/01 09:05:00 AM,1493706,250075473,,IS,Initial Supplement,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,LEAVENWORTH ST \ UNITED NATIONS PLZ,30044000.0,Tenderloin,Tenderloin,5.0,6.0,37.779991149902344,-122.41349029541016,POINT (-122.413490295 37.77999115),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,21.0,,1.0,1.0,1.0,,10.0,5.0,2025,2
149362326030,2025-07-01 03:27:00,2025/07/01,03:27,2025,Tuesday,2025/07/01 04:35:00 AM,1493623,250363234,251820190.0,II,Initial,,26030,Arson,Arson,Arson,Cite or Arrest Adult,ILLINOIS ST \ MARIPOSA ST \ TERRY A FRANCOIS BLVD,23574000.0,Bayview,Mission Bay,6.0,10.0,37.76437759399414,-122.3879165649414,POINT (-122.387916565 37.764377594),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,56.0,,,,,,9.0,2.0,2025,2
149376716710,2025-07-01 09:15:00,2025/07/01,09:15,2025,Tuesday,2025/07/01 09:18:00 AM,1493767,250363450,251820744.0,II,Initial,,16710,Drug Offense,Drug Violation,"Narcotics Paraphernalia, Possession of",Cite or Arrest Adult,06TH ST \ MISSION ST,24293000.0,Tenderloin,South of Market,6.0,6.0,37.78097152709961,-122.40870666503906,POINT (-122.408706665 37.780971527),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,32.0,,1.0,1.0,1.0,,10.0,1.0,2025,2
149387605041,2025-07-01 19:09:00,2025/07/01,19:09,2025,Tuesday,2025/07/01 07:41:00 PM,1493876,250364878,251822693.0,II,Initial,,5041,Burglary,Burglary - Residential,"Burglary, Residence, Forcible Entry",Open or Active,16TH AVE \ VICENTE ST,23152000.0,Taraval,West of Twin Peaks,7.0,7.0,37.739463806152344,-122.47222137451172,POINT (-122.472221375 37.739463806),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,46.0,,,,,,8.0,10.0,2025,2
149372772000,2025-07-01 10:37:00,2025/07/01,10:37,2025,Tuesday,2025/07/01 10:37:00 AM,1493727,250363717,251821080.0,II,Initial,,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,23RD AVE \ TARAVAL ST,23260000.0,Taraval,Sunset/Parkside,4.0,4.0,37.742862701416016,-122.47998046875,POINT (-122.479980469 37.742862701),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,40.0,,,,,,7.0,10.0,2025,2
149372327199,2025-07-01 09:17:00,2025/07/01,09:17,2025,Tuesday,2025/07/01 09:17:00 AM,1493723,250363513,251820739.0,II,Initial,,27199,Other Miscellaneous,Loitering,Lodging Without Permission,Cite or Arrest Adult,ELLIS ST \ LEAVENWORTH ST,25139000.0,Tenderloin,Tenderloin,5.0,6.0,37.7846565246582,-122.4144287109375,POINT (-122.414428711 37.784656525),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,20.0,,1.0,,,,10.0,5.0,2025,2
149373819057,2025-07-01 05:00:00,2025/07/01,05:00,2025,Tuesday,2025/07/01 06:24:00 AM,1493738,250363262,251820311.0,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Cite or Arrest Adult,BUSH ST \ LEAVENWORTH ST,25165000.0,Central,Nob Hill,3.0,3.0,37.7893180847168,-122.41537475585938,POINT (-122.415374756 37.789318085),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,50.0,,,,,,3.0,6.0,2025,2
149373812030,2025-07-01 05:00:00,2025/07/01,05:00,2025,Tuesday,2025/07/01 06:24:00 AM,1493738,250363262,251820311.0,II,Initial,,12030,Weapons Offense,Weapons Offense,"Weapon, Deadly, Imitation or Laser Scope, Exhibiting",Cite or Arrest Adult,BUSH ST \ LEAVENWORTH ST,25165000.0,Central,Nob Hill,3.0,3.0,37.7893180847168,-122.41537475585938,POINT (-122.415374756 37.789318085),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,50.0,,,,,,3.0,6.0,2025,2
149376116710,2025-07-01 11:55:00,2025/07/01,11:55,2025,Tuesday,2025/07/01 11:58:00 AM,1493761,250363808,251821234.0,II,Initial,,16710,Drug Offense,Drug Violation,"Narcotics Paraphernalia, Possession of",Cite or Arrest Adult,07TH ST \ MINNA ST,24291000.0,Southern,South of Market,6.0,6.0,37.778785705566406,-122.410400390625,POINT (-122.410400391 37.778785706),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,32.0,,1.0,1.0,1.0,,10.0,1.0,2025,2
149382127090,2025-07-01 14:00:00,2025/07/01,14:00,2025,Tuesday,2025/07/01 03:41:00 PM,1493821,250364323,251821994.0,II,Initial,,27090,Larceny Theft,Larceny Theft - Other,"Theft, Lost Property, Petty",Open or Active,COLE ST \ PAGE ST,26418000.0,Park,Haight Ashbury,5.0,5.0,37.7705192565918,-122.45040893554688,POINT (-122.450408936 37.770519257),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,25.0,,,,,,11.0,7.0,2025,2
149386116704,2025-07-01 17:45:00,2025/07/01,17:45,2025,Tuesday,2025/07/01 05:45:00 PM,1493861,250364646,251822415.0,II,Initial,,16704,Drug Offense,Drug Violation,Loitering Where Narcotics are Sold/Used,Cite or Arrest Adult,ELLIS ST \ LEAVENWORTH ST,25139000.0,Tenderloin,Tenderloin,5.0,6.0,37.7846565246582,-122.4144287109375,POINT (-122.414428711 37.784656525),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,20.0,,1.0,,,,10.0,5.0,2025,2
149389805011,2025-07-01 03:30:00,2025/07/01,03:30,2025,Tuesday,2025/07/01 09:49:00 PM,1493898,250365036,251822343.0,VS,Vehicle Supplement,,5011,Burglary,Burglary - Residential,"Burglary, Apartment House, Forcible Entry",Open or Active,19TH ST \ SOUTH VAN NESS AVE,24129000.0,Mission,Mission,9.0,9.0,37.76036834716797,-122.41702270507812,POINT (-122.417022705 37.760368347),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,53.0,,,,3.0,,2.0,3.0,2025,2
149361507041,2025-07-01 01:43:00,2025/07/01,01:43,2025,Tuesday,2025/07/01 01:43:00 AM,1493615,250356643,251820114.0,VS,Vehicle Supplement,,7041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,KANSAS ST \ MARIPOSA ST,23772000.0,Southern,Potrero Hill,10.0,10.0,37.76344680786133,-122.40341186523438,POINT (-122.403411865 37.763446808),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,54.0,,,,,,9.0,2.0,2025,2
149370527199,2025-07-01 08:20:00,2025/07/01,08:20,2025,Tuesday,2025/07/01 08:20:00 AM,1493705,250363369,251820561.0,II,Initial,,27199,Other Miscellaneous,Loitering,Lodging Without Permission,Cite or Arrest Adult,HARRISON ST \ MERLIN ST,23931000.0,Southern,South of Market,6.0,6.0,37.778602600097656,-122.40238189697266,POINT (-122.402381897 37.7786026),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,32.0,,,,,,10.0,1.0,2025,2
